title;singer;album;producer;distributor;year_month;is_popular;external_factors;num_times_top_10;num_times_top_5;num_times_top_1;is_collab;spotify_uri;album_type;release_date;duration_ms;explicit;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;valence;tempo;singer_id;is_ost;for_reality_tvshow
#첫사랑;bol4;#첫사랑;쇼파르뮤직, 딩고뮤직;카카오 m;201801-201802-201803;1;0;1;1;0;False;4tKN17Kw29gzlnZwMaAtZN;single;2018-01-10;207495;False;0.605;0.568;0.6459999999999999;0.0;0.131;-3.418;0.0406;0.395;77.92699999999999;4k5fFEYgkWYrYvtOK3zVBl;0;0
#화이트 스타일 (feat. 김호연 of 달 좋은밤);kisum;show off;스케치;카카오 m;201507;0;0;0;0;0;True;1LrcLQ3pTFz7yafs0a2sds;single;2015-06-17;191805;False;0.059000000000000004;0.696;0.93;0.0;0.19399999999999998;-3.5;0.172;0.825;91.96;1CArfopvfCxakFJHup55FW;0;0
%%(응응);apink;percent;플레이엠엔터테인먼트;카카오 m;201901-201902;1;0;0;0;0;False;4SpQDJz1JiRT2mHxvyqN9K;single;2019-01-07;208104;False;0.294;0.647;0.855;0.0;0.13699999999999998;-2.944;0.037000000000000005;0.6829999999999999;144.86700000000002;2uWcrwgWmZcQc3IPBs3tfU;0;0
00_00 (zero o`clock);bts;map of the soul _ 7;빅히트 엔터테인먼트;dreamus;202003-202004-202005;1;0;0;0;0;False;4AlihYDqxXshKhvh5tnMfP;album;2020-02-21;250295;False;0.0802;0.5660000000000001;0.5479999999999999;0.0;0.11;-6.456;0.0579;0.196;157.999;3Nrfpe0tUJi4K4DXYWgMUX;0;0
0330;u-kiss;bran new kiss (ep);nh emg;카카오 m;201105;0;0;0;0;0;False;7HKDOS7RKlnUkluAY23oga;single;2011-03-30;209188;False;0.142;0.698;0.6409999999999999;0.0;0.0823;-4.763;0.0705;0.496;86.02799999999999;2GB76Lm833jVI5kLvKEB7Z;0;0
1 of 1;shinee;1 of 1 - the 5th album;sm entertainment;지니뮤직;201610;1;0;0;0;0;False;6UmRhJatcth1KF76r5ucvZ;album;2016-09-29;203884;False;0.0635;0.6940000000000001;0.879;0.0;0.0478;-3.765;0.0515;0.84;108.045;2hRQKC0gqlZGPrmUKbcchR;0;0
1,2,3,4 (원,투,쓰리,포);lee hi;1,2,3,4 (원,투,쓰리,포);yg entertainment;지니뮤직;201211-201212;1;0;1;1;1;False;1AhqxJYPxp0xBFPBPYYLZn;album;2018-03-21;214053;False;0.37200000000000005;0.905;0.65;0.0;0.087;-3.98;0.0478;0.956;115.977;7cVZApDoQZpS447nHTsNqu;0;0
1-4-3 (i love you) (feat. f(amber));henry;the 1st digital single 1-4-3;sm entertainment;지니뮤직;201308;0;0;0;0;0;True;2h0XaZFu9IIV7Ssms7bKtX;single;2013-06-07;205680;False;0.11800000000000001;0.6579999999999999;0.879;0.0;0.10400000000000001;-3.2689999999999997;0.065;0.905;124.99;1sjw4xq2pAWy5Vdgba5QAt;0;0
100%;mblaq;mblaq 4th mini album `blaq%ver.`;j.tune camp;stone music entertainment;201203;0;0;0;0;0;False;5TRbHQCfWe2sB4zwgrpCVI;album;2012-03-21;212598;False;0.0182;0.633;0.9309999999999999;0.0;0.223;-3.452;0.0703;0.5379999999999999;127.059;14f1WN9TUDVBK4sHUStmLG;0;0
1004 (angel);b.a.p;first sensibility;ts엔터테인먼트;카카오 m;201402;1;0;0;0;0;False;3BBOgNp88aV5wV6hJjyS01;album;2018-11-28;207333;False;0.278;0.615;0.8740000000000001;0.0;0.183;-3.6460000000000004;0.0381;0.767;126.98;6kxCoNfY6U1eP0Yc88phvk;0;0
10월의 날씨;10cm;3.1;매직스트로베리사운드;포크라노스;201511;0;0;0;0;0;False;3lTJ5mNFRjawVcNQVAIboM;single;2015-10-10;255442;False;0.8640000000000001;0.57;0.155;0.0;0.107;-10.011000000000001;0.0315;0.381;135.764;6zn0ihyAApAYV51zpXxdEp;0;0
11_11;taeyeon;11_11;sm entertainment;지니뮤직;201611-201612;1;0;1;1;0;False;67QGnT1Vdfuuy4HkLTUVjj;album;2017-04-05;223451;False;0.677;0.445;0.528;0.0;0.155;-7.242999999999999;0.0744;0.511;203.155;3qNVuliS40BLgXGxhdBdqu;0;0
12시 30분;beast;time;큐브엔터테인먼트;universal music;201410-201411-201412;1;0;2;0;0;False;3PT9IsEzmCz2ZFVUx1gdNn;single;2014-10-20;233766;False;0.408;0.636;0.782;0.0;0.0599;-2.779;0.0312;0.557;99.976;1Pr9gT0veB2tgcisQeIGoC;0;0
12월의 기적 (miracles in december);exo;겨울 스페셜 앨범 `12월의 기적 (miracles in decemb...;sm entertainment;지니뮤직;201312;1;0;1;1;0;False;7HrCnwDvbtCKSZtpNDmII9;single;2013-12-09;273287;False;0.677;0.5870000000000001;0.314;0.0;0.13699999999999998;-7.62;0.0313;0.21100000000000002;119.79700000000001;3cjEqqelV9zb4BYE3qDQ4O;0;0
134340;bts;love yourself 轉 `tear`;빅히트 엔터테인먼트;dreamus;201806;0;0;0;0;0;False;38td8VabuKlQt72Q2VnhbO;album;2018-05-18;230063;False;0.153;0.664;0.688;9.14e-05;0.17300000000000001;-6.466;0.0543;0.65;106.022;3Nrfpe0tUJi4K4DXYWgMUX;0;0
1440;huh gak;1집 little giant;플레이엠엔터테인먼트;stone music entertainment;201302-201303;1;0;1;0;0;False;7Dr12gOF1sHytIKT1jY64Z;album;2013-02-05;227944;False;0.531;0.6759999999999999;0.534;0.0;0.10300000000000001;-5.462000000000001;0.0289;0.555;99.029;49vOeJAPxAz6YmVZPNM7ys;0;0
160 (feat. 이수근);eun jiwon-sep-lee soo keun;platonic;지와이엠엔터테인먼트;카카오 m;201002;0;0;0;0;0;True;4ab04tKlJmvGrtj8jSZO98;album;2009-12-10;139426;False;0.009859999999999999;0.797;0.732;3.53e-05;0.0938;-5.039;0.0999;0.792;160.114;6dTCGU3ZXmHV6roc3mP7Q5-sep-6IxC9ovm6zy6WhJcUUL1vI;0;0
180도;ben;180˚;메이저나인;지니뮤직;201812-201901-201902-201903-201904-201905;1;0;3;2;0;False;0O5bo4CqoUcXGyRPoeTHSB;single;2018-12-07;229187;False;0.682;0.535;0.513;0.0;0.0789;-5.079;0.0319;0.17300000000000001;133.481;0bDdOBGVCFVt0f8N9ldW1k;0;0
1cm의 자존심;mamamoo;1cm의 자존심;rbw, stone music entertainment;stone music entertainment;201602-201603;1;0;0;0;0;False;05d6pLPZ1DmRfgc5IfdPnx;album;2016-02-26;184362;False;0.0944;0.733;0.684;0.0;0.14300000000000002;-3.99;0.41600000000000004;0.757;200.308;0XATRDCYuuGhk0oE7C0o5G;0;0
1llusion;dok2;1llusion;illionaire records;stone music entertainment;201606;1;0;0;0;0;False;17jWB9tfanpXJGWJ8FSiEe;single;2016-05-21;170490;False;0.233;0.7909999999999999;0.6579999999999999;0.0;0.11800000000000001;-6.886;0.355;0.584;96.92399999999999;0rW6fVd3yuW2CF2sLYWQtE;0;0
1도 없어;apink;one & six;플레이엠엔터테인먼트;카카오 m;201807-201808-201809;1;0;2;1;0;False;3lSM3Wn3RJbzAAHzJ3sX1f;single;2018-07-02;199402;False;0.128;0.594;0.81;0.0;0.0324;-2.083;0.0531;0.777;123.75200000000001;2uWcrwgWmZcQc3IPBs3tfU;0;0
1분 1초;kim hyun jung;1 minute 1 second (digital single);푸키엔터테인먼트;카카오 m;201102;0;0;0;0;0;False;2Zk6PbkkSfR5PCQcXGViMW;single;2011-02-25;204564;False;0.45399999999999996;0.6409999999999999;0.996;0.0;0.122;-1.601;0.256;0.28600000000000003;137.971;43POv7qZZ3vVHxpa1kUZsO;0;0
2 different tears;wonder girls;2 different tears;jyp entertainment;카카오 m;201005-201006;1;0;2;2;0;False;0TBNg82Zqi0k1VslEe2ooq;album;2010-05-15;214773;False;0.161;0.9009999999999999;0.74;1.35e-06;0.155;-5.1080000000000005;0.0751;0.946;130.971;3Cv2vi3WTl8VZOTdrBkKdM;0;0
2 the sky;hwayobi;2 the sky;라이온미디어;nhn벅스;201106;0;0;0;0;0;False;3lK7nYD7UpXa6bMq38GxUK;single;2011-06-30;207613;False;0.526;0.713;0.449;0.0;0.12;-7.662999999999999;0.0628;0.29600000000000004;123.70299999999999;5oihNt5Zntgh1XIsDqOGq5;0;0
200%;akmu;play;yg entertainment;지니뮤직;201404-201405;1;0;1;1;1;False;3jM4UiYD4GLhlbDzGRVkkX;album;2014-04-07;193321;False;0.379;0.853;0.638;0.0;0.27;-4.9110000000000005;0.0536;0.872;102.06;6OwKE9Ez6ALxpTaKcT5ayv;0;0
21;dean;130 mood  trbl;joombas co ltd & universal music;universal music;201606;0;0;0;0;0;False;2jiI8bNSDu7UxTtDCOqh3L;album;2016-03-25;207129;False;0.18;0.6859999999999999;0.73;0.0;0.341;-5.672999999999999;0.153;0.5760000000000001;109.93;3eCd0TZrBPm2n9cDG6yWfF;0;0
24/7;2yoon;harvest moon;큐브엔터테인먼트;universal music;201302;1;0;0;0;0;False;5H2TiyP6IcEWybHWMl4lgJ;single;2013-01-17;205035;False;0.0347;0.535;0.943;1.4800000000000002e-05;0.11699999999999999;-2.613;0.11699999999999999;0.608;203.97;0TZwYeCBGsOjdJXyFLNuaa;0;0
24시간;make some noise;produce 101 - 35 girls 5 concepts;stone music entertainment;stone music entertainment;201603-201604;0;0;0;0;0;False;0Da3npHrlxVHmM31CahAe0;compilation;2016-03-19;237656;False;0.00135;0.6890000000000001;0.96;0.00505;0.37799999999999995;-1.247;0.0592;0.616;127.99600000000001;4CToXcq4fbeIXvbyBYeS0R;0;1
24시간이 모자라;kwon jin ah;sbs k팝 스타 시즌3 top8;sbs 콘텐츠허브;카카오 m;201403;0;0;0;0;0;False;7wn8HSGhUiGREUBao34AJz;single;2014-03-16;165459;False;0.731;0.723;0.371;4.72e-06;0.10800000000000001;-8.556000000000001;0.0608;0.326;123.82600000000001;0kRAVpQhUUArA8UnYwEdeZ;0;1
24시간이 모자라;sunmi;24시간이 모자라;jyp entertainment;지니뮤직;201308-201309;1;0;0;0;0;False;1KvMjr7Yx2WKl5WV4YCj9Y;single;2013-08-26;201590;False;0.00549;0.7390000000000001;0.782;1.4099999999999999e-05;0.315;-3.964;0.10300000000000001;0.604;125.94;6MoXcK2GyGg7FIyxPU5yW6;0;0
24시간후;2bic;24시간후;넥스타엔터테인먼트;카카오 m;201211;0;0;0;0;0;False;3lBdJIMU67tPICamTmFFoc;single;2012-11-20;231079;False;0.7509999999999999;0.579;0.579;0.0;0.32299999999999995;-6.664;0.0354;0.371;93.021;2m4JjhDHG2PfW7WIaZW9ax;0;0
2hot;g.na;bloom;큐브엔터테인먼트;universal music;201205-201206;1;0;1;0;0;False;39kV5WLnEMyV1Gijewq67l;single;2012-05-22;184244;False;0.073;0.682;0.914;3.26e-06;0.0963;-2.173;0.0957;0.9329999999999999;132.965;3hzcooxMtbApMTvvn6XKVA;0;0
30 sexy;rain;rain effect;큐브디씨;카카오 m;201401;1;0;0;0;0;False;345y6JePQqGMSO76yUkVpw;album;2014-02-07;213775;False;0.0919;0.775;0.77;0.000779;0.0624;-2.594;0.0413;0.914;109.522;5L4EafeXwZ0stGuPtGr5Tz;0;0
3호선 매봉역 (feat. paloalto, beenzino);primary-sep-paloalto-sep-beenzino;primary and the messengers lp;아메바컬쳐;stone music entertainment;201211;0;0;0;0;0;True;1GWAuOd7yJs1r3KtyFl5XH;album;2012-10-31;290400;False;0.446;0.732;0.7979999999999999;0.0;0.0929;-4.928;0.278;0.696;95.97;4QDcs3XrA8uHUZ7Xt9Ytep-sep-2Yv0nlRtzgPl6u0dsS2hFv-sep-7IrDIIq3j04exsiF3Z7CPg;0;0
4 walls;f(x);4 walls - the 4th album;sm entertainment;지니뮤직;201511;1;0;1;0;0;False;2YkjXEab4USTV9uuAgC90E;album;2015-10-27;207477;False;0.212;0.735;0.8490000000000001;2.94e-05;0.0608;-4.308;0.129;0.223;125.97200000000001;3wRA5UYoo08BBKJnzyKkpF;0;0
5월의 밤;zion.t;5월의 밤;the black label;yg plus;201911;1;0;0;0;0;False;6Mnnb4HXLTUUUG1JT7jGql;single;2019-11-06;196881;False;0.35;0.722;0.364;1.65e-05;0.122;-8.55;0.16399999999999998;0.33;90.109;5HenzRvMtSrgtvU16XAoby;0;0
7월 7일 (one of these nights);red velvet;the velvet - the 2nd mini album;sm entertainment;지니뮤직;201604;0;0;0;0;0;False;6koMMQlsRWBwHZXdtWxgUk;album;2016-03-17;261942;False;0.475;0.436;0.509;0.0;0.10099999999999999;-5.1610000000000005;0.0345;0.11;133.653;1z4g3DjTBBZKhvAroFlhOM;0;0
9 to 5 (feat. gaeko);crush-sep-gaeko;interlude;아메바컬쳐;카카오 m;201605;0;0;0;0;0;True;06H9FY5GKrrj8crtIyNEhA;single;2016-05-06;223618;False;0.0637;0.732;0.667;2.58e-06;0.0852;-5.502000000000001;0.147;0.48700000000000004;104.941;6aLdhHUqgdKE86xbtNmY8g-sep-0tkHE1pQ5ZCgQb8WZ0ba79;0;0
9-teen;seventeen;a-teen2 part.2;playlist;카카오 m;201905;0;0;0;0;0;False;5G5MW3CIQ26AV08Yl7UV6m;single;2019-05-19;197898;False;0.0503;0.564;0.7759999999999999;0.0;0.396;-5.101;0.17800000000000002;0.693;160.049;7nqOGRxlXj7N2JYbgNEjYH;0;0
? (물음표) (feat. 최자, zion.t);primary-sep-choiza of dynamic duo-sep-zion.t;primary and the messengers lp;아메바컬쳐;stone music entertainment;201211-201212;1;0;1;1;0;True;7qOZU5DXQ3HJsrzngN7Qjf;album;2012-10-31;194040;False;0.22399999999999998;0.7020000000000001;0.738;0.0;0.11900000000000001;-3.4810000000000003;0.125;0.922;95.977;4QDcs3XrA8uHUZ7Xt9Ytep-sep-5fWWed4B3K56BNRJMWCiVK-sep-5HenzRvMtSrgtvU16XAoby;0;0
a;got7;got♡;jyp entertainment;지니뮤직;201406;0;0;0;0;0;False;1dHGpyLRqLnBqyWzlfvyFh;album;2014-06-23;182613;False;0.00836;0.711;0.8690000000000001;0.0;0.11;-3.693;0.0443;0.256;102.965;6nfDaffa50mKtEOwR8g4df;0;0
a;rainbow;a;dsp미디어;stone music entertainment;201008-201009;1;0;0;0;0;False;3LII8A23VIs7pzudea2VSo;single;2010-08-12;201737;False;0.00203;0.617;0.8740000000000001;0.0118;0.36700000000000005;-6.497000000000001;0.057999999999999996;0.8079999999999999;138.043;7xDyxRXgFgOZhdtLtkYR1y;0;0
a bitter day (feat. 용준형 of 비스트, g.na);hyuna-sep-yong jun hyung-sep-g.na;a bitter day;큐브엔터테인먼트;universal music;201107;1;1;0;0;0;True;5baWix7cutASMoB3X8cQGb;single;2011-06-30;227392;False;0.6409999999999999;0.715;0.778;0.0;0.183;-4.319;0.0497;0.7090000000000001;96.057;3UwlejyX2b458azZ7eCnHb-sep-4drjiBRSqZoTD67xgZCmNo-sep-3hzcooxMtbApMTvvn6XKVA;0;0
a brand new day (bts world ost part.2);bts-sep-zara larsson;a brand new day (bts world ost part.2);takeone company, 빅히트엔터테인먼트;카카오 m;201906;0;0;0;0;0;True;5XkyZyKMdFungjDb9cUKc3;single;2019-06-14;205019;False;0.33899999999999997;0.804;0.498;0.000236;0.18;-7.3870000000000005;0.0571;0.7040000000000001;105.008;3Nrfpe0tUJi4K4DXYWgMUX-sep-1Xylc3o4UrD53lo9CvFvVg;1;0
a real lady (feat. beenzino, gray & zi...;swings-sep-beenzino-sep-gray-sep-zion.t;a real lady;브랜뉴뮤직;nhn벅스;201308;1;0;0;0;0;True;2VzVdDiwroyaF3fcwiOdeb;single;2013-08-12;189791;False;0.321;0.726;0.877;0.0;0.342;-3.73;0.365;0.895;92.97;6F5tPDq3TIduDv2ki6O1Oq-sep-7IrDIIq3j04exsiF3Z7CPg-sep-3kPEBSt7qgVoRZSbIXMr7W-sep-5HenzRvMtSrgtvU16XAoby;0;0
a-cha;super junior;`mr. simple` the 5th album repackage;sm entertainment;지니뮤직;201110;0;0;0;0;0;False;4WViO9vKhU4imbEj5ykdoY;album;2011-09-19;200466;False;0.008870000000000001;0.759;0.7170000000000001;0.0;0.11900000000000001;-1.65;0.0489;0.85;125.051;6gzXCdfYfFe5XKhPKkYqxV;0;0
about time;btob;feel`em;큐브엔터테인먼트;카카오 m;201703;0;0;0;0;0;False;52FaH5DT8zJzTBvkzhbCtC;single;2017-03-06;225909;False;0.29;0.703;0.701;0.0;0.373;-5.044;0.0348;0.773;97.984;2hcsKca6hCfFMwwdbFvenJ;0;0
aeao;dynamicduo-sep-dj premier;a giant step;아메바컬쳐;카카오 m;201408;0;0;0;0;0;True;7hrlGlLnzusciZyzxwhkn9;single;2014-07-16;316944;False;0.0567;0.495;0.764;0.0;0.141;-6.479;0.16699999999999998;0.5760000000000001;152.273;4nvFFLtv7ZqoTr83387uK4-sep-6GEykX11lQqp92UVOQQCC7;0;0
ah yeah (아예);winner;we;yg entertainment;yg plus;201905-201906;1;0;0;0;0;False;2WDhYlm5gBepkMZHBk0LN7;single;2019-05-15;176906;False;0.35600000000000004;0.797;0.722;0.0;0.177;-5.051;0.0388;0.878;128.01;5DuzBeOgFwViFcv00Q5PFb;0;0
ahh oop! (아훕!);mamamoo;ahh oop!;rbw, stone music entertainment;stone music entertainment;201504;0;0;0;0;0;True;1JzyP3KDXSZ8Nq5q4W7cwR;single;2015-06-19;201699;False;0.541;0.79;0.857;0.0;0.0748;-3.878;0.121;0.924;129.939;0XATRDCYuuGhk0oE7C0o5G;0;0
airplane;ikon;welcome back;yg entertainment;지니뮤직;201510;1;0;0;0;0;False;5LpVoAIMwOZcZ94zzlIP8F;album;2015-12-24;216111;False;0.247;0.677;0.6729999999999999;0.0;0.35;-5.787999999999999;0.0879;0.536;87.009;5qRSs6mvI17zrkJpOHkCoM;0;0
all for you;sechskies;all for you;yg entertainment;yg plus;202001;0;0;0;0;0;False;5nHD2GbiDHXc7PF0i3p64I;single;2020-01-28;242977;False;0.071;0.623;0.7559999999999999;0.0;0.10800000000000001;-4.838;0.0472;0.716;167.895;6uRyNreOHUvWPNGnKfIo27;0;0
always;yoon mirae;태양의 후예 ost part 1;오우엔터테인먼트, 뮤직앤뉴;뮤직앤뉴;201603-201604-201605;1;0;2;1;0;False;4LsMjCB4qt4RnWcJBiHrA6;single;2016-02-18;205192;False;0.7759999999999999;0.425;0.605;0.0;0.311;-3.4530000000000003;0.0331;0.282;128.665;1Do4bSzfUl0KWL9r1fITu0;1;0
anti (feat. g.soul);zico-sep-golden;television;세븐시즌스;stone music entertainment;201708;0;0;0;0;0;True;7AeKlE60y1KOfSSiiAY3Wv;single;2017-07-12;216514;False;0.0473;0.662;0.8190000000000001;0.0;0.389;-4.252;0.325;0.409;78.101;4XpUIb8uuNlIWVKmgKZXC0-sep-4oEXworvhegyK83rZwVyWL;0;0
ah-choo;lovelyz;lovelyz8;에스엠컬처앤콘텐츠레이블울림;카카오 m;201604-201605;0;0;0;0;0;False;4Kl017IgdJxdlvgnvrpYlE;single;2015-10-01;218474;False;0.315;0.7290000000000001;0.898;0.0;0.107;-1.0290000000000001;0.0391;0.517;126.977;3g34PW5oNmDBxMVUTzx2XK;0;0
airbag (feat. 나얼);tablo-sep-naul;airbag;yg entertainment;지니뮤직;201110;1;0;1;0;0;True;1YVSe1KYOtUDhoB0vxT3uo;single;2011;281604;False;0.601;0.593;0.5589999999999999;2.22e-06;0.138;-7.981;0.126;0.43;93.198;3NdOtTPPaXrCyC7Lpmzyhv-sep-22oiFjlZPKJ1XphV2et1u1;0;0
airplane;f(x);2집 pink tape;sm entertainment;지니뮤직;201308;0;0;0;0;0;False;7C6DmSezfRUWs468kBy14E;album;2013-07-29;214440;False;0.138;0.596;0.89;0.0;0.183;-3.845;0.0395;0.7340000000000001;128.09;3wRA5UYoo08BBKJnzyKkpF;0;0
airplane pt.2;bts;love yourself 轉 `tear`;빅히트 엔터테인먼트;dreamus;201805-201807-201808-201809;0;0;0;0;0;False;0xKNTDmIym4R2TfKnS4FQo;album;2018-08-24;218614;False;0.0268;0.769;0.8170000000000001;9.95e-05;0.084;-4.092;0.0339;0.866;139.97899999999998;3Nrfpe0tUJi4K4DXYWgMUX;0;0
all i wanna do (k) (feat. hoody, loco);jay park-sep-hoody-sep-loco;everything you wanted;aomg;stone music entertainment;201611-201612;1;0;0;0;0;True;2c37Gkpu75l3kvh1FUZrHV;album;2016-10-20;216786;False;0.375;0.4;0.7240000000000001;0.0;0.0927;-6.064;0.253;0.43;96.78200000000001;4XDi67ZENZcbfKnvMnTYsI-sep-7lXgbtBDcCRbfc5f8FhGUL-sep-2e4G04F77jxVuDYo44TCSm;0;0
all right;lim kim;a voice;미스틱스토리;stone music entertainment;201306-201307;1;0;2;1;0;False;34yQmXF8SMUzP986GBUdMf;album;2013-11-18;208620;False;0.337;0.7559999999999999;0.888;0.00018;0.12300000000000001;-6.375;0.0387;0.948;125.887;4kGuk6HkL6hwuQrgSWISBv;0;0
always be there;brown eyed soul;always be there;인넥스트 트렌드;stone music entertainment;201311;1;0;0;0;0;False;3ngbNkdle1x9n8KE1FiztQ;album;2015-12-08;312853;False;0.6679999999999999;0.41;0.599;0.0;0.37200000000000005;-7.502999999999999;0.0766;0.263;173.99599999999998;7AVa6rcpTQWVqgy91llPP5;0;0
am i wrong;bts;wings;빅히트 엔터테인먼트;카카오 m;201610;0;0;0;0;0;False;1ORnZ5RmTKhVxPrjORKxAE;album;2016-10-10;213082;False;0.00125;0.7609999999999999;0.8340000000000001;1e-05;0.0868;-4.992;0.0494;0.68;107.988;3Nrfpe0tUJi4K4DXYWgMUX;0;0
amanda (feat. simon dominic) (prod. by...;yumdda-sep-simon dominic;amanda;yumdda;지니뮤직, stone music entertainment;202002;0;0;0;0;0;True;6nJwZ2ZocGVBlGoEHd7PUs;single;2019-12-14;156429;False;0.52;0.8220000000000001;0.631;0.0;0.107;-7.067;0.28800000000000003;0.85;99.97;0su5mZ6qhvOUhz7ckEx8rR-sep-57W9ikVc6O2wLDtmclSjvN;0;0
and i`m here;kim kyung hee;도깨비 ost part 11;stone music entertainment, 화앤담픽쳐스;stone music entertainment;201702;0;0;0;0;0;False;2XhaaLnddmr4dLG7isoyRB;single;2017-01-10;248029;False;0.9540000000000001;0.289;0.10099999999999999;0.000105;0.10099999999999999;-14.384;0.0348;0.0833;146.363;35CFI6iSFTyM0scQKBu8eE;1;0
and july (feat. dean, dj friz);heize-sep-dean-sep-dj friz;and july;stone music entertainment;stone music entertainment;201701-201702;0;0;0;0;0;True;0Yz3F0UGDibDe8uU69zmjn;single;2016-07-18;226128;False;0.0401;0.735;0.852;0.0;0.196;-3.85;0.092;0.7879999999999999;98.494;5dCvSnVduaFleCnyy98JMo-sep-1CoMdr8e41eunTZrr2fDYT-sep-0js3wKXyi7RL11sfOykRt1;0;0
and we go;sung si kyung;and we go;에스케이재원;카카오 m;202005;0;0;0;0;0;False;4Z7DIzXHsoJceD9fDVwnWz;single;2020-05-03;200773;False;0.8390000000000001;0.466;0.449;0.0;0.1;-8.021;0.0304;0.575;91.852;7jFUYMpMUBDL4JQtMZ5ilc;0;0
and... 그리고;baek ji young;프로듀사 ost;roy 엔터테인먼트;sony music;201506;0;0;0;0;0;False;7vDUgp5dRfxkSRTrPLmH9W;album;2015-05-23;246066;False;0.669;0.536;0.569;2.02e-05;0.14;-3.972;0.0305;0.281;77.992;3l0MJ9LCiBlMyOMaz485Q5;1;0
angel;yoonmirae with tiger jk & bizzy;angel;feel ghood music;카카오 m;201412-201501;1;0;1;1;0;True;6NF9DZwxMn07Se9J7Z3HVv;single;2014-12-08;255425;False;0.0109;0.642;0.807;0.0;0.382;-2.627;0.0392;0.509;150.003;1gHkMaCEY418kcjgSGfts6;0;0
angel (솔라 & 휘인);mamamoo;angel, dabdab;rbw, stone music entertainment;stone music entertainment;201609;0;0;0;0;0;False;6LIe6PrMsIiyeuGYAd77fC;album;2016-11-07;212702;False;0.838;0.418;0.45799999999999996;0.0;0.135;-6.096;0.0348;0.249;125.741;0XATRDCYuuGhk0oE7C0o5G;0;0
another day;monday kiz-sep-punch;호텔 델루나 ost part.1;냠냠엔터테인먼트;카카오 m;201908-201909;1;0;0;0;0;True;3RKZzMSV2SAWCeuPYeY0yV;single;2019-07-14;217972;False;0.677;0.506;0.607;2.01e-06;0.195;-3.862;0.0281;0.48200000000000004;143.968;24jJXZRz3aGvjVvZ4OoerD-sep-2FgZrgTMX6Sk0VNcOsEPmm;1;0
anpanman;bts;love yourself 轉 `tear`;빅히트 엔터테인먼트;dreamus;201810-201903;0;0;0;0;0;False;01gUlvzAPiwB9Ekq9kGVCM;album;2018-08-24;232966;False;0.0237;0.813;0.875;0.0;0.28800000000000003;-2.92;0.0918;0.7559999999999999;99.00399999999999;3Nrfpe0tUJi4K4DXYWgMUX;0;0
answer _ love myself;bts;love yourself 結 `answer`;빅히트 엔터테인먼트;dreamus;201808;0;0;0;0;0;False;4eVkn18rN4GguUWOsR6Use;album;2018-08-24;251279;False;0.18899999999999997;0.569;0.7929999999999999;0.0;0.111;-3.7489999999999997;0.0405;0.45;108.04799999999999;3Nrfpe0tUJi4K4DXYWgMUX;0;0
apple (feat. 박재범);gain;hawwah;에이팝, 미스틱스토리;카카오 m;201503;1;0;1;0;0;True;13o6TmqhYoAy9V0hnIEpgt;single;2015-03-12;183419;False;0.14400000000000002;0.79;0.723;0.0;0.37200000000000005;-4.175;0.111;0.718;127.993;4R60A85t9mTZzCqJlVswuo;0;0
apple is a;t-ara;absolute first album;코어컨텐츠미디어;stone music entertainment;201001;0;0;0;0;0;False;28Dcm3OeHniOlg7baQ8UIu;album;2009-11-27;189506;False;0.17600000000000002;0.713;0.92;0.0;0.312;-3.66;0.0325;0.7190000000000001;135.952;1R52cwGf75yTf7I3Q0Irf8;0;0
artist;zico;television;세븐시즌스;stone music entertainment;201707-201708;1;0;1;0;0;False;7jLvgYw7NcFi7kQz1RBABd;single;2017-07-12;192827;False;0.13699999999999998;0.875;0.855;0.0;0.111;-4.561;0.242;0.8740000000000001;117.99799999999999;4XpUIb8uuNlIWVKmgKZXC0;0;0
awake;bts;wings;빅히트 엔터테인먼트;카카오 m;201610;0;0;0;0;0;False;0UDCfleTgwihlnOUxbzokR;album;2016-10-10;226160;False;0.023;0.35700000000000004;0.498;1.99e-06;0.26899999999999996;-6.5889999999999995;0.0332;0.33899999999999997;142.816;3Nrfpe0tUJi4K4DXYWgMUX;0;0
awoo;lim kim;simple mind;미스틱89, 미스틱엔터테인먼트;카카오 m;201504;0;0;0;0;0;False;4fc4uJqWlJNCdotajkBBQd;album;2015-04-22;193014;False;0.245;0.469;0.8370000000000001;6.92e-05;0.21100000000000002;-4.229;0.27899999999999997;0.7290000000000001;149.917;4kGuk6HkL6hwuQrgSWISBv;0;0
b.b.b (big baby baby);dalshabet;the 7th mini album `b.b.b`;해피페이스 엔터테인먼트;카카오 m;201401;1;0;0;0;0;False;22JYAncqQl1XO9LHbpd2sT;album;2014-01-08;224974;False;0.0456;0.758;0.884;0.000155;0.281;-2.1180000000000003;0.0284;0.826;126.00399999999999;10xsuRNvidaOLxWd3fRIel;0;0
baam;momoland;fun to the world;엠엘디엔터테인먼트, 카카오 m;카카오 m;201807-201808;1;0;0;0;0;False;4Is1b37KJY9XVCgzp81FBW;single;2018-06-26;208474;False;0.115;0.725;0.94;0.0043100000000000005;0.0864;-2.32;0.0435;0.905;127.051;5RR0MLwcjc87wjSw2JYdwx;0;0
